"","RecordedDate","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","prom.str","prev.str","promdom.str","age","gender","language","ethnicity","location","education","income","pol_orient"
"1","12/3/19 7:05",4,2,1,2,4,4,5,2,3,4,5,-0.0182044335215488,0.855914696928246,-0.874119130449795,36,"Male","English","White","TX","Bachelor's","$0-$10K","Liberal"
"2","12/3/19 7:05",1,1,4,2,5,1,4,1,1,5,2,-2.3439121013263,-1.143605987939,-1.20030611338729,27,"Male","English","White","NY","Some College","$70K-$100K","Moderate"
"3","12/3/19 7:07",2,2,2,2,2,2,2,2,2,4,2,-1.99174174768628,-1.75733493572532,-0.234406811960958,26,"Female","English","White","NC","Bachelor's","$100K-$250K","Conservative"
"4","12/3/19 7:07",1,1,3,1,4,2,1,3,4,1,2,-2.71799786613607,-3.37994679620243,0.661948930066354,29,"Female","English","White","MS","Associate's","$10K-$20K","Moderate"
"5","12/3/19 7:08",2,2,4,1,4,3,3,2,1,4,2,-3.0768542709842,-2.4101879613894,-0.666666309594793,31,"Male","English","White","IL","Master's","$40K-$70K","Slightly Liberal"
"6","12/3/19 7:08",2,5,5,5,3,5,5,3,2,5,1,-2.59804473656552,-2.34656854945902,-0.251476187106498,44,"Female","English","Multiracial","WA","Bachelor's","$100K-$250K","Slightly Conservative"
"7","12/3/19 7:08",3,1,3,3,5,2,3,1,4,4,5,-2.26206484689222,-1.89685473957286,-0.365210107319369,50,"Male","English","Multiracial","PA","Master's","$100K-$250K","Moderate"
"8","12/3/19 7:09",4,3,2,5,2,4,3,4,5,2,3,-2.97793872009939,-2.97349267127724,-0.00444604882214961,25,"Male","English","White","MN","Master's","$70K-$100K","Liberal"
"9","12/3/19 7:09",1,1,5,1,5,1,5,1,1,5,4,-2.66277489364624,-2.86930719500357,0.206532301357325,28,"Male","English","White","FL","Bachelor's","$100K-$250K","Very Conservative"
"10","12/3/19 7:10",1,1,3,3,4,2,4,1,1,4,3,-3.46578489024427,-3.24423784384383,-0.221547046400434,26,"Male","English","Hispanic","NJ","Bachelor's","$40K-$70K","Slightly Liberal"
"11","12/3/19 7:10",3,2,3,3,2,3,4,2,2,3,2,-2.5841007208629,-2.67283477198791,0.0887340511250123,35,"Male","English","White","ME","Bachelor's","$70K-$100K","Moderate"
"12","12/3/19 7:10",2,3,5,3,4,3,4,4,2,4,1,-2.66733502317614,-3.68747902803421,1.02014400485807,22,"Male","English","Multiracial","FL","Some College","$40K-$70K","Liberal"
"13","12/3/19 7:11",1,1,5,1,5,1,5,1,1,5,1,-3.00850973467724,-1.5844062187518,-1.42410351592543,30,"Female","English","White","MN","High School","$40K-$70K","Very Liberal"
"14","12/3/19 7:11",4,4,3,3,3,4,3,4,2,4,2,-4.39846664098562,-3.5343398943896,-0.864126746596013,46,"Female","English","White","NC","Associate's","$40K-$70K","Very Liberal"
"15","12/3/19 7:11",5,3,4,3,4,3,4,2,2,5,1,-4.59244925134746,-4.17225416009329,-0.420195091254179,58,"Female","English","White","NY","Bachelor's","$100K-$250K","Conservative"
"16","12/3/19 7:11",1,4,4,4,2,4,4,2,2,4,2,-3.02745592561654,-2.24818017771569,-0.77927574790085,40,"Female","English","White","OH","Master's","$100K-$250K","Slightly Conservative"
"17","12/3/19 7:11",4,4,3,4,3,4,3,3,4,3,4,-4.68873281360873,-4.76753163030762,0.0787988166988915,24,"Female","English","Asian","TX","Bachelor's","$20K-$40K","Moderate"
"18","12/3/19 7:11",5,3,5,5,4,5,5,4,4,4,5,-3.41033270111561,-4.1007034826536,0.690370781537989,24,"Female","English","Black","IL","Associate's","$10K-$20K","Liberal"
"19","12/3/19 7:12",4,4,4,2,3,5,4,1,4,1,3,-3.41434976165855,-3.35873749146246,-0.0556122701960926,31,"Female","English","White","NY","Some College","$70K-$100K","Very Liberal"
"20","12/3/19 7:12",4,3,4,3,4,3,4,3,1,5,2,-2.74803406793022,-1.76257054789825,-0.985463520031973,40,"Male","English","Multiracial","TX","Bachelor's","$40K-$70K","Very Conservative"
"21","12/3/19 7:12",4,2,4,2,3,2,4,4,2,5,1,-4.15557268255166,-3.17763329022756,-0.977939392324095,39,"Male","English","White","CT","Associate's","$70K-$100K","Slightly Conservative"
"22","12/3/19 7:12",4,5,5,5,2,5,5,4,2,5,3,-3.65849269658289,-3.04845144933304,-0.610041247249851,33,"Female","English","White","MO","Some College","$70K-$100K","Very Liberal"
"23","12/3/19 7:13",3,2,4,2,4,3,3,3,3,4,2,-5.28583366081179,-5.01628350254598,-0.26955015826581,48,"Male","English","White","IN","Bachelor's","$70K-$100K","Conservative"
"24","12/3/19 7:13",1,3,3,3,3,3,5,1,1,4,2,-2.14898126624058,-1.92088920878724,-0.228092057453337,35,"Male","English","White","WA","Bachelor's","$70K-$100K","Very Liberal"
"25","12/3/19 7:13",2,3,4,5,4,1,5,5,4,4,1,-3.84712761940424,-3.80898993563479,-0.0381376837694489,43,"Female","English","White","VA","Master's","$40K-$70K","Very Liberal"
